Round,RequestRate,Timestamp,ActualRPS,TotalRequests,SuccessCount,ErrorCount,SuccessRate,ErrorRate,AvgResponseTime,MinResponseTime,MaxResponseTime,MedianResponseTime,P50ResponseTime,P90ResponseTime,P95ResponseTime,P99ResponseTime,ThroughputRPS,TestDurationSeconds,StatusCode200,StatusCode400,StatusCode500,OtherStatusCodes
1,1,2025-06-29 16:31:57,1.00,60,60,0,1.0000,0.0000,10.72,6,24,10,10,14,14,18,1.00,60.19,60,0,0,0
2,2,2025-06-29 16:33:02,1.99,120,120,0,1.0000,0.0000,11.35,6,25,11,11,13,14,17,1.99,60.34,120,0,0,0
3,5,2025-06-29 16:34:07,4.94,297,297,0,1.0000,0.0000,9.72,6,19,10,10,13,14,17,4.94,60.15,297,0,0,0
4,10,2025-06-29 16:35:12,9.75,586,586,0,1.0000,0.0000,9.69,6,23,10,10,12,13,16,9.75,60.07,586,0,0,0
5,20,2025-06-29 16:36:17,19.44,1168,1168,0,1.0000,0.0000,10.09,6,22,10,10,12,14,18,19.44,60.07,1168,0,0,0
6,40,2025-06-29 16:37:22,38.92,2336,2336,0,1.0000,0.0000,10.24,5,22,10,10,12,14,17,38.92,60.02,2336,0,0,0
7,60,2025-06-29 16:38:27,48.58,2915,2915,0,1.0000,0.0000,10.04,2,21,10,10,13,14,18,48.58,60.01,2915,0,0,0
8,80,2025-06-29 16:39:32,49.01,2945,2945,0,1.0000,0.0000,8.27,5,21,7,7,11,12,16,49.01,60.09,2945,0,0,0
9,100,2025-06-29 16:40:38,48.51,2915,2915,0,1.0000,0.0000,9.87,5,21,10,10,12,14,17,48.51,60.09,2915,0,0,0
10,200,2025-06-29 16:40:56,875.41,12000,12000,0,1.0000,0.0000,8.31,2,19,8,8,10,10,14,875.41,13.71,12000,0,0,0
11,400,2025-06-29 16:41:29,868.51,24000,24000,0,1.0000,0.0000,8.13,3,23,8,8,10,10,14,868.51,27.63,24000,0,0,0
12,600,2025-06-29 16:42:15,875.14,36000,36000,0,1.0000,0.0000,8.03,3,22,8,8,10,10,14,875.14,41.14,36000,0,0,0
13,800,2025-06-29 16:43:16,864.50,48000,48000,0,1.0000,0.0000,7.77,2,28,8,8,9,10,14,864.50,55.52,48000,0,0,0
14,1000,2025-06-29 16:44:21,861.78,51720,51720,0,1.0000,0.0000,7.82,2,30,8,8,9,10,14,861.78,60.02,51720,0,0,0
15,2000,2025-06-29 16:44:43,6871.09,120000,120000,0,1.0000,0.0000,7.08,0,29,7,7,9,10,12,6871.09,17.46,120000,0,0,0
16,4000,2025-06-29 16:45:24,6806.94,240000,240000,0,1.0000,0.0000,7.08,0,22,7,7,9,10,12,6806.94,35.26,240000,0,0,0
17,6000,2025-06-29 16:46:21,6852.56,360000,360000,0,1.0000,0.0000,7.02,0,21,7,7,9,10,11,6852.56,52.54,360000,0,0,0
18,8000,2025-06-29 16:47:26,6765.89,406050,406050,0,1.0000,0.0000,7.16,0,20,7,7,9,10,12,6765.89,60.01,406050,0,0,0
19,10000,2025-06-29 16:48:31,6782.29,407050,407050,0,1.0000,0.0000,7.16,0,37,7,7,9,10,12,6782.29,60.02,407050,0,0,0
20,20000,2025-06-29 16:49:40,31338.38,1200000,1200000,0,1.0000,0.0000,4.32,0,41,4,4,6,7,10,31338.38,38.29,1200000,0,0,0
21,40000,2025-06-29 16:51:11,31398.12,1884700,1884700,0,1.0000,0.0000,4.28,0,28,4,4,6,7,9,31398.12,60.03,1884700,0,0,0
22,60000,2025-06-29 16:52:41,31281.04,1877700,1877700,0,1.0000,0.0000,4.29,0,35,4,4,6,7,9,31281.04,60.03,1877700,0,0,0
23,80000,2025-06-29 16:54:12,31591.98,1896400,1896400,0,1.0000,0.0000,4.50,0,48,4,4,7,8,12,31591.98,60.03,1896400,0,0,0
24,100000,2025-06-29 16:55:43,31699.52,1903011,1903011,0,1.0000,0.0000,4.31,0,50,4,4,7,7,9,31699.52,60.03,1903011,0,0,0
25,200000,2025-06-29 16:57:13,31343.93,1881500,1881500,0,1.0000,0.0000,4.53,0,68,4,4,7,8,15,31343.93,60.03,1881500,0,0,0
