Round,RequestRate,Timestamp,ActualRPS,TotalRequests,SuccessCount,ErrorCount,SuccessRate,ErrorRate,AvgResponseTime,MinResponseTime,MaxResponseTime,MedianResponseTime,P50ResponseTime,P90ResponseTime,P95ResponseTime,P99ResponseTime,ThroughputRPS,TestDurationSeconds,StatusCode200,StatusCode400,StatusCode500,OtherStatusCodes
1,1,2025-06-29 00:24:09,1.00,60,60,0,1.0000,0.0000,17.18,11,24,17,17,19,19,22,1.00,60.16,60,0,0,0
2,2,2025-06-29 00:25:14,1.99,120,120,0,1.0000,0.0000,15.83,7,20,17,17,18,19,20,1.99,60.42,120,0,0,0
3,5,2025-06-29 00:26:19,4.94,297,297,0,1.0000,0.0000,13.71,4,65,14,14,18,18,29,4.94,60.16,297,0,0,0
4,10,2025-06-29 00:27:25,9.67,581,581,0,1.0000,0.0000,15.79,5,27,17,17,19,19,21,9.67,60.08,581,0,0,0
5,20,2025-06-29 00:28:30,19.42,1166,1166,0,1.0000,0.0000,14.89,5,46,16,16,19,20,26,19.42,60.03,1166,0,0,0
6,40,2025-06-29 00:29:35,38.72,2324,2324,0,1.0000,0.0000,107.08,4,10608,17,17,27,30,3527,38.72,60.03,2324,0,0,0
7,60,2025-06-29 00:30:40,48.63,2920,2920,0,1.0000,0.0000,79.39,5,9179,17,17,29,31,41,48.63,60.05,2920,0,0,0
8,80,2025-06-29 00:31:45,48.55,2915,2915,0,1.0000,0.0000,76.35,4,8557,17,17,30,37,41,48.55,60.04,2915,0,0,0
9,100,2025-06-29 00:32:50,48.64,2920,2920,0,1.0000,0.0000,72.83,3,8282,17,17,29,32,40,48.64,60.03,2920,0,0,0
10,200,2025-06-29 00:33:30,345.13,12000,11953,47,0.9961,0.0039,205.66,4,22569,6,6,48,103,1384,345.13,34.77,11953,0,47,0
11,400,2025-06-29 00:34:55,296.42,24000,23901,99,0.9959,0.0041,238.91,3,30005,5,5,17,57,3244,296.42,80.97,23901,0,79,20
12,600,2025-06-29 00:35:41,883.06,36000,36000,0,1.0000,0.0000,5.80,4,63,5,5,6,14,17,883.06,40.77,36000,0,0,0
13,800,2025-06-29 00:37:00,654.26,48000,47967,33,0.9993,0.0007,152.17,7,25039,47,47,73,81,1889,654.26,73.36,47967,0,33,0
14,1000,2025-06-29 00:38:05,885.30,53130,53130,0,1.0000,0.0000,10.65,3,65,6,6,23,27,28,885.30,60.01,53130,0,0,0
15,2000,2025-06-29 00:43:20,786.51,120000,119323,677,0.9944,0.0056,507.63,9,30002,206,206,271,332,11508,786.51,152.57,119323,0,658,19
16,4000,2025-06-29 00:46:11,1448.94,240000,239532,468,0.9980,0.0020,344.22,7,15905,265,265,326,375,3188,1448.94,165.64,239532,0,468,0
17,6000,2025-06-29 00:50:53,1299.77,360000,359462,538,0.9985,0.0015,383.90,4,20560,275,275,327,363,3535,1299.77,276.97,359462,0,538,0
18,8000,2025-06-29 01:26:28,1091.04,464550,463190,1360,0.9971,0.0029,457.55,10,15785,341,341,508,697,3211,1091.04,425.79,463190,0,1360,0
19,10000,2025-06-29 01:48:26,737.36,466000,464283,1717,0.9963,0.0037,677.36,7,30018,288,288,1624,1925,6768,737.36,631.98,464283,0,1126,591
20,20000,2025-06-29 02:36:21,421.77,1200000,1180102,19898,0.9834,0.0166,2369.59,7,30185,1288,1288,3871,5970,15111,421.77,2845.12,1180102,0,14945,4953
21,40000,2025-06-29 07:03:04,861.83,2400000,2374568,25432,0.9894,0.0106,1159.07,8,30056,646,646,2538,3698,9836,861.83,2784.77,2374568,0,24432,1000
22,60000,2025-06-29 08:48:07,844.53,2295900,2275191,20709,0.9910,0.0090,1183.33,6,31302,591,591,3416,3822,10685,844.53,2718.57,2275191,0,17652,3057
23,80000,2025-06-29 09:32:31,1438.90,2876900,2871374,5526,0.9981,0.0019,694.32,7,30161,562,562,618,665,5266,1438.90,1999.38,2871374,0,4078,1448
24,100000,2025-06-29 10:04:09,1390.69,2595800,2589713,6087,0.9977,0.0023,718.41,6,30024,561,561,631,686,6379,1390.69,1866.56,2589713,0,5087,1000
25,200000,2025-06-29 10:39:35,1384.77,2902100,2895175,6925,0.9976,0.0024,721.49,6,30027,579,579,660,706,6406,1384.77,2095.73,2895175,0,5925,1000
26,400000,2025-06-29 11:11:40,1356.54,2569200,2560492,8708,0.9966,0.0034,736.52,4,30056,568,568,639,685,6780,1356.54,1893.94,2560492,0,7708,1000
27,600000,2025-06-29 11:45:27,1314.80,2625300,2613496,11804,0.9955,0.0045,759.89,6,30139,587,587,698,760,8578,1314.80,1996.73,2613496,0,10621,1183
28,800000,2025-06-29 12:17:34,1387.20,2629400,2622107,7293,0.9972,0.0028,720.21,7,30179,573,573,655,707,6104,1387.20,1895.47,2622107,0,5800,1493
29,1000000,2025-06-29 12:52:05,1419.73,2896900,2891414,5486,0.9981,0.0019,703.71,7,30024,570,570,633,686,6028,1419.73,2040.46,2891414,0,4519,967
