Round,RequestRate,Timestamp,ActualRPS,TotalRequests,SuccessCount,ErrorCount,SuccessRate,ErrorRate,AvgResponseTime,MinResponseTime,MaxResponseTime,MedianResponseTime,P50ResponseTime,P90ResponseTime,P95ResponseTime,P99ResponseTime,ThroughputRPS,TestDurationSeconds,StatusCode200,StatusCode400,StatusCode500,OtherStatusCodes
1,1,2025-06-29 15:47:29,1.00,60,0,60,0.0000,1.0000,1.08,1,6,1,1,1,1,3,1.00,60.16,0,0,60,0
2,2,2025-06-29 15:48:35,1.99,120,0,120,0.0000,1.0000,1.64,0,54,1,1,1,2,9,1.99,60.30,0,0,117,3
3,5,2025-06-29 15:49:40,4.96,298,0,298,0.0000,1.0000,1.10,1,11,1,1,1,1,4,4.96,60.08,0,0,298,0
4,10,2025-06-29 15:50:45,9.75,585,82,503,0.1402,0.8598,446.03,0,30005,0,0,7,8,20290,9.75,60.02,82,0,0,503
