Round,RequestRate,Timestamp,ActualRPS,TotalRequests,SuccessCount,ErrorCount,SuccessRate,ErrorRate,AvgResponseTime,MinResponseTime,MaxResponseTime,MedianResponseTime,P50ResponseTime,P90ResponseTime,P95ResponseTime,P99ResponseTime,ThroughputRPS,TestDurationSeconds,StatusCode200,StatusCode400,StatusCode500,OtherStatusCodes
1,1,2025-06-29 16:20:03,1.00,60,60,0,1.0000,0.0000,12.25,7,23,12,12,16,17,19,1.00,60.19,60,0,0,0
2,2,2025-06-29 16:21:08,1.99,120,120,0,1.0000,0.0000,11.29,7,18,11,11,14,15,16,1.99,60.28,120,0,0,0
3,5,2025-06-29 16:22:13,4.94,297,297,0,1.0000,0.0000,10.22,6,21,10,10,12,13,17,4.94,60.07,297,0,0,0
4,10,2025-06-29 16:23:18,9.79,588,588,0,1.0000,0.0000,9.16,6,19,9,9,12,13,17,9.79,60.04,588,0,0,0
5,20,2025-06-29 16:24:23,19.46,1168,1168,0,1.0000,0.0000,10.03,6,19,10,10,13,14,17,19.46,60.02,1168,0,0,0
6,40,2025-06-29 16:25:28,39.16,2352,2352,0,1.0000,0.0000,9.49,6,26,9,9,13,15,18,39.16,60.05,2352,0,0,0
