Round,RequestRate,Timestamp,ActualRPS,TotalRequests,SuccessCount,ErrorCount,SuccessRate,ErrorRate,AvgResponseTime,MinResponseTime,MaxResponseTime,MedianResponseTime,P50ResponseTime,P90ResponseTime,P95ResponseTime,P99ResponseTime,ThroughputRPS,TestDurationSeconds,StatusCode200,StatusCode400,StatusCode500,OtherStatusCodes
1,1,2025-06-29 14:36:00,1.00,60,60,0,1.0000,0.0000,18.52,9,24,19,19,22,22,24,1.00,60.17,60,0,0,0
2,2,2025-06-29 14:37:05,1.99,120,120,0,1.0000,0.0000,18.40,7,25,19,19,21,22,24,1.99,60.35,120,0,0,0
3,5,2025-06-29 14:38:10,4.94,297,297,0,1.0000,0.0000,18.22,7,26,19,19,21,21,23,4.94,60.18,297,0,0,0
4,10,2025-06-29 14:39:15,9.74,585,585,0,1.0000,0.0000,16.60,6,25,18,18,19,20,21,9.74,60.04,585,0,0,0
5,20,2025-06-29 14:40:20,19.47,1168,1168,0,1.0000,0.0000,16.90,6,42,18,18,22,23,29,19.47,60.00,1168,0,0,0
6,40,2025-06-29 14:41:26,38.98,2340,2340,0,1.0000,0.0000,18.18,6,72,18,18,29,33,41,38.98,60.04,2340,0,0,0
