Round,RequestRate,Timestamp,ActualRPS,TotalRequests,SuccessCount,ErrorCount,SuccessRate,ErrorRate,AvgResponseTime,MinResponseTime,MaxResponseTime,MedianResponseTime,P50ResponseTime,P90ResponseTime,P95ResponseTime,P99ResponseTime,ThroughputRPS,TestDurationSeconds,StatusCode200,StatusCode400,StatusCode500,OtherStatusCodes
1,1,2025-06-29 15:53:54,1.00,60,60,0,1.0000,0.0000,6.87,6,13,7,7,8,8,10,1.00,60.13,60,0,0,0
2,2,2025-06-29 15:54:59,1.99,120,120,0,1.0000,0.0000,7.06,6,10,7,7,8,8,8,1.99,60.33,120,0,0,0
3,5,2025-06-29 15:56:04,4.94,297,297,0,1.0000,0.0000,7.08,6,11,7,7,8,8,9,4.94,60.13,297,0,0,0
4,10,2025-06-29 15:57:09,9.76,586,586,0,1.0000,0.0000,6.79,5,12,7,7,8,8,8,9.76,60.01,586,0,0,0
5,20,2025-06-29 15:58:15,19.57,1176,1176,0,1.0000,0.0000,6.75,5,25,7,7,8,8,10,19.57,60.08,1176,0,0,0
6,40,2025-06-29 15:59:20,39.07,2348,2348,0,1.0000,0.0000,6.83,5,11,7,7,8,8,9,39.07,60.09,2348,0,0,0
7,60,2025-06-29 16:00:25,48.90,2935,2935,0,1.0000,0.0000,8.78,5,24,8,8,13,15,18,48.90,60.02,2935,0,0,0
