Round,RequestRate,Timestamp,ActualRPS,TotalRequests,SuccessCount,ErrorCount,SuccessRate,ErrorRate,AvgResponseTime,MinResponseTime,MaxResponseTime,MedianResponseTime,P50ResponseTime,P90ResponseTime,P95ResponseTime,P99ResponseTime,ThroughputRPS,TestDurationSeconds,StatusCode200,StatusCode400,StatusCode500,OtherStatusCodes
1,1,2025-06-10 23:07:42,1.00,60,60,0,1.0000,0.0000,38.23,17,128,33,33,55,61,101,1.00,60.12,60,0,0,0
2,2,2025-06-10 23:08:47,1.99,120,120,0,1.0000,0.0000,37.30,17,61,40,40,51,52,58,1.99,60.17,120,0,0,0
3,5,2025-06-10 23:09:53,4.98,299,299,0,1.0000,0.0000,16.55,10,29,16,16,20,21,24,4.98,60.03,299,0,0,0
4,10,2025-06-10 23:10:58,9.93,596,596,0,1.0000,0.0000,16.61,10,38,16,16,21,22,27,9.93,60.05,596,0,0,0
5,20,2025-06-10 23:12:03,19.84,1192,1192,0,1.0000,0.0000,17.96,11,92,17,17,23,26,33,19.84,60.09,1192,0,0,0
6,40,2025-06-10 23:13:08,39.69,2384,2384,0,1.0000,0.0000,22.52,12,65,19,19,33,36,51,39.69,60.06,2384,0,0,0
7,60,2025-06-10 23:14:13,49.44,2970,2970,0,1.0000,0.0000,46.28,11,1086,28,28,48,96,501,49.44,60.07,2970,0,0,0
8,80,2025-06-10 23:15:18,49.46,2970,2970,0,1.0000,0.0000,23.87,12,63,22,22,34,38,44,49.46,60.04,2970,0,0,0
9,100,2025-06-10 23:16:23,49.49,2970,2970,0,1.0000,0.0000,26.00,12,163,24,24,37,41,51,49.49,60.02,2970,0,0,0
10,200,2025-06-10 23:17:02,350.68,12000,12000,0,1.0000,0.0000,283.02,30,1319,248,248,499,593,829,350.68,34.22,12000,0,0,0
11,400,2025-06-10 23:17:59,470.07,24000,24000,0,1.0000,0.0000,211.46,34,1082,191,191,352,413,547,470.07,51.06,24000,0,0,0
12,600,2025-06-10 23:19:17,488.51,36000,36000,0,1.0000,0.0000,203.57,33,914,189,189,313,358,468,488.51,73.69,36000,0,0,0
13,800,2025-06-10 23:21:27,376.62,46890,46890,0,1.0000,0.0000,264.49,42,1765,223,223,433,580,900,376.62,124.50,46890,0,0,0
14,1000,2025-06-10 23:23:16,446.57,46370,46370,0,1.0000,0.0000,222.96,37,2191,201,201,331,399,644,446.57,103.84,46370,0,0,0
15,2000,2025-06-10 23:28:03,425.79,120000,120000,0,1.0000,0.0000,936.60,50,2951,935,935,1348,1645,1962,425.79,281.83,120000,0,0,0
16,4000,2025-06-10 23:37:17,437.27,240000,240000,0,1.0000,0.0000,1141.68,45,2965,1188,1188,1603,1777,2225,437.27,548.86,240000,0,0,0
17,6000,2025-06-10 23:49:28,472.47,343050,343050,0,1.0000,0.0000,1056.91,34,2422,1127,1127,1442,1574,1859,472.47,726.08,343050,0,0,0
18,8000,2025-06-11 00:02:02,467.52,349950,349950,0,1.0000,0.0000,1068.04,44,3543,1130,1130,1455,1602,1950,467.52,748.53,349950,0,0,0
19,10000,2025-06-11 00:14:49,443.11,337800,334384,3416,0.9899,0.0101,1126.84,19,18304,1168,1168,1510,1640,2029,443.11,762.34,334384,0,3416,0
20,20000,2025-06-11 01:00:44,440.60,1200000,1193663,6337,0.9947,0.0053,2267.84,29,22115,2424,2424,3033,3251,3887,440.60,2723.53,1193663,0,6337,0
21,40000,2025-06-11 01:52:14,424.97,1299955,1295232,4723,0.9964,0.0036,2351.47,22,20340,2532,2532,3130,3354,3912,424.97,3058.96,1295232,0,4723,0
22,60000,2025-06-11 02:43:38,428.56,1307600,1303335,4265,0.9967,0.0033,2331.89,31,20960,2522,2522,3100,3333,4042,428.56,3051.12,1303335,0,4265,0
23,80000,2025-06-11 03:36:18,422.80,1322600,1315692,6908,0.9948,0.0052,2363.42,37,19047,2532,2532,3140,3357,4047,422.80,3128.17,1315692,0,6908,0
24,100000,2025-06-11 04:28:49,421.15,1313834,1310030,3804,0.9971,0.0029,2372.78,22,21112,2543,2543,3178,3422,4209,421.15,3119.64,1310030,0,3804,0
25,200000,2025-06-11 05:30:44,346.25,1275000,1267752,7248,0.9943,0.0057,2886.41,36,30589,2875,2875,4046,4734,7765,346.25,3682.35,1267752,0,6437,811
