Round,RequestRate,Timestamp,ActualRPS,TotalRequests,SuccessCount,ErrorCount,SuccessRate,ErrorRate,AvgResponseTime,MinResponseTime,MaxResponseTime,MedianResponseTime,P50ResponseTime,P90ResponseTime,P95ResponseTime,P99ResponseTime,ThroughputRPS,TestDurationSeconds,StatusCode200,StatusCode400,StatusCode500,OtherStatusCodes
1,1,2025-06-29 14:44:46,1.00,60,60,0,1.0000,0.0000,20.70,7,29,22,22,24,26,28,1.00,60.17,60,0,0,0
2,2,2025-06-29 14:45:52,1.99,120,120,0,1.0000,0.0000,19.93,7,28,21,21,24,25,27,1.99,60.34,120,0,0,0
3,5,2025-06-29 14:46:57,4.93,297,297,0,1.0000,0.0000,19.91,6,32,21,21,23,25,27,4.93,60.20,297,0,0,0
4,10,2025-06-29 14:48:02,9.74,585,585,0,1.0000,0.0000,17.11,6,27,18,18,22,23,25,9.74,60.06,585,0,0,0
5,20,2025-06-29 14:49:07,19.48,1170,1170,0,1.0000,0.0000,16.54,6,47,18,18,21,22,27,19.48,60.06,1170,0,0,0
6,40,2025-06-29 14:50:12,39.10,2348,2348,0,1.0000,0.0000,16.57,6,86,17,17,23,29,33,39.10,60.05,2348,0,0,0
7,60,2025-06-29 14:51:17,49.13,2950,2950,0,1.0000,0.0000,16.44,6,128,13,13,28,32,51,49.13,60.05,2950,0,0,0
8,80,2025-06-29 14:52:22,48.73,2925,2925,0,1.0000,0.0000,19.34,6,43,18,18,31,35,40,48.73,60.03,2925,0,0,0
9,100,2025-06-29 14:53:27,48.65,2920,2920,0,1.0000,0.0000,19.89,7,47,18,18,31,33,38,48.65,60.01,2920,0,0,0
10,200,2025-06-29 14:53:45,903.89,12000,12000,0,1.0000,0.0000,57.09,5,476,28,28,144,185,279,903.89,13.28,12000,0,0,0
11,400,2025-06-29 14:54:17,894.55,24000,24000,0,1.0000,0.0000,11.47,5,328,7,7,18,27,97,894.55,26.83,24000,0,0,0
12,600,2025-06-29 14:55:03,890.80,36000,36000,0,1.0000,0.0000,10.82,4,232,7,7,17,26,100,890.80,40.41,36000,0,0,0
13,800,2025-06-29 14:56:01,896.39,48000,48000,0,1.0000,0.0000,16.54,4,619,7,7,32,77,162,896.39,53.55,48000,0,0,0
14,1000,2025-06-29 14:57:06,895.23,53720,53720,0,1.0000,0.0000,12.64,4,365,7,7,19,36,114,895.23,60.01,53720,0,0,0
15,2000,2025-06-29 14:58:34,1444.53,120000,120000,0,1.0000,0.0000,275.82,15,677,268,268,352,382,439,1444.53,83.07,120000,0,0,0
16,4000,2025-06-29 15:01:10,1595.09,240000,240000,0,1.0000,0.0000,312.51,19,666,309,309,367,386,445,1595.09,150.46,240000,0,0,0
17,6000,2025-06-29 15:05:25,1442.20,360000,359834,166,0.9995,0.0005,345.89,14,8504,331,331,396,446,557,1442.20,249.62,359834,0,166,0
18,8000,2025-06-29 15:12:38,1121.27,480000,479802,198,0.9996,0.0004,445.14,11,16069,407,407,561,605,705,1121.27,428.09,479802,0,198,0
19,10000,2025-06-29 15:20:15,1091.36,493600,493600,0,1.0000,0.0000,457.34,16,3622,422,422,594,671,1335,1091.36,452.28,493600,0,0,0
