Round,RequestRate,Timestamp,ActualRPS,TotalRequests,SuccessCount,ErrorCount,SuccessRate,ErrorRate,AvgResponseTime,MinResponseTime,MaxResponseTime,MedianResponseTime,P50ResponseTime,P90ResponseTime,P95ResponseTime,P99ResponseTime,ThroughputRPS,TestDurationSeconds,StatusCode200,StatusCode400,StatusCode500,OtherStatusCodes
1,1,2025-06-29 18:41:00,1.00,60,60,0,1.0000,0.0000,12.33,7,28,12,12,15,16,21,1.00,60.25,60,0,0,0
2,2,2025-06-29 18:42:06,1.99,120,120,0,1.0000,0.0000,11.83,7,19,12,12,14,15,18,1.99,60.41,120,0,0,0
3,5,2025-06-29 18:43:11,4.92,295,295,0,1.0000,0.0000,10.96,6,23,11,11,13,14,17,4.92,60.01,295,0,0,0
4,10,2025-06-29 18:44:16,9.66,580,580,0,1.0000,0.0000,10.35,6,21,10,10,12,14,17,9.66,60.07,580,0,0,0
5,20,2025-06-29 18:45:21,19.32,1160,1160,0,1.0000,0.0000,10.54,6,24,10,10,13,15,18,19.32,60.05,1160,0,0,0
6,40,2025-06-29 18:46:26,38.58,2316,2316,0,1.0000,0.0000,11.11,6,22,11,11,14,16,18,38.58,60.02,2316,0,0,0
7,60,2025-06-29 18:47:31,48.08,2885,2885,0,1.0000,0.0000,10.91,4,22,11,11,14,16,18,48.08,60.01,2885,0,0,0
8,80,2025-06-29 18:48:36,48.06,2885,2885,0,1.0000,0.0000,10.40,6,21,10,10,14,15,17,48.06,60.02,2885,0,0,0
9,100,2025-06-29 18:49:41,48.27,2900,2900,0,1.0000,0.0000,8.49,4,25,8,8,11,12,15,48.27,60.08,2900,0,0,0
10,200,2025-06-29 18:49:59,904.35,12000,12000,0,1.0000,0.0000,6.41,3,26,6,6,7,8,13,904.35,13.27,12000,0,0,0
11,400,2025-06-29 18:50:31,908.13,24000,24000,0,1.0000,0.0000,6.25,5,17,6,6,7,7,8,908.13,26.43,24000,0,0,0
12,600,2025-06-29 18:51:16,905.11,36000,36000,0,1.0000,0.0000,6.34,1,45,6,6,7,7,9,905.11,39.77,36000,0,0,0
13,800,2025-06-29 18:52:14,900.74,48000,48000,0,1.0000,0.0000,6.37,0,36,6,6,7,7,9,900.74,53.29,48000,0,0,0
14,1000,2025-06-29 18:53:19,899.57,53980,53980,0,1.0000,0.0000,6.31,5,22,6,6,7,7,9,899.57,60.01,53980,0,0,0
15,2000,2025-06-29 18:53:39,7830.81,120000,120000,0,1.0000,0.0000,5.29,0,18,6,6,7,8,9,7830.81,15.32,120000,0,0,0
16,4000,2025-06-29 18:54:15,7833.65,240000,240000,0,1.0000,0.0000,5.28,0,28,6,6,7,8,9,7833.65,30.64,240000,0,0,0
17,6000,2025-06-29 18:55:07,7753.22,360000,360000,0,1.0000,0.0000,5.33,0,59,6,6,7,8,9,7753.22,46.43,360000,0,0,0
18,8000,2025-06-29 18:56:12,7564.79,453950,453950,0,1.0000,0.0000,5.53,0,56,6,6,8,8,10,7564.79,60.01,453950,0,0,0
19,10000,2025-06-29 18:57:17,7508.89,450600,450600,0,1.0000,0.0000,5.58,0,62,6,6,8,8,10,7508.89,60.01,450600,0,0,0
20,20000,2025-06-29 18:58:26,31509.70,1200000,1200000,0,1.0000,0.0000,4.56,0,99,4,4,7,8,12,31509.70,38.08,1200000,0,0,0
21,40000,2025-06-29 18:59:57,31378.93,1883700,1883700,0,1.0000,0.0000,4.53,0,55,4,4,7,8,12,31378.93,60.03,1883700,0,0,0
22,60000,2025-06-29 19:01:28,31517.84,1892122,1892122,0,1.0000,0.0000,4.62,0,116,4,4,7,8,12,31517.84,60.03,1892122,0,0,0
23,80000,2025-06-29 19:02:58,31861.18,1912600,1912600,0,1.0000,0.0000,4.63,0,102,4,4,7,8,13,31861.18,60.03,1912600,0,0,0
24,100000,2025-06-29 19:04:29,31915.86,1915968,1915968,0,1.0000,0.0000,4.61,0,116,4,4,7,8,13,31915.86,60.03,1915968,0,0,0
25,200000,2025-06-29 19:05:59,32520.88,1952325,1952325,0,1.0000,0.0000,4.42,0,76,4,4,7,8,11,32520.88,60.03,1952325,0,0,0
26,400000,2025-06-29 19:07:30,32380.39,1943877,1943877,0,1.0000,0.0000,4.39,0,115,4,4,7,8,10,32380.39,60.03,1943877,0,0,0
27,600000,2025-06-29 19:09:00,32199.87,1933101,1933101,0,1.0000,0.0000,4.45,0,87,4,4,7,8,11,32199.87,60.03,1933101,0,0,0
28,800000,2025-06-29 19:10:31,32482.35,1950000,1950000,0,1.0000,0.0000,4.37,0,122,4,4,7,7,10,32482.35,60.03,1950000,0,0,0
29,1000000,2025-06-29 19:12:01,32460.18,1948600,1948600,0,1.0000,0.0000,4.47,0,92,4,4,7,8,12,32460.18,60.03,1948600,0,0,0
